id;case_file_no;remarks;hissa_type;khatedar_status;project_land_id;citizen_id
1;encompassing Accounts;Riyal Gorgeous Concrete;SINGLE_OWNER;SURVEY_CREATED;1;1
2;administration transmitting Developer;Metal Bedfordshire Missouri;SINGLE_OWNER;SURVEY_CREATED;2;2
3;Digitized;Cliffs Rustic;SINGLE_OWNER;NEW;3;3
4;Metrics;process Salad Ranch;SINGLE_OWNER;NEW;4;4
5;capability Frozen;Martinique Minnesota Markets;DIVIDED;NEW;5;5
6;deposit;Zloty Technician;DIVIDED;SURVEY_CREATED;6;6
7;Self-enabling Communications methodologies;navigate invoice;DIVIDED;NEW;7;7
8;Cheese JBOD Licensed;models;DIVIDED;NEW;8;8
9;interfaces Shilling Wisconsin;fault-tolerant Towels deposit;JOINT_OWNER;NEW;9;9
10;Fish generating;Account superstructure;DIVIDED;SURVEY_CREATED;10;10
